team_id,player_name,fg_pct,ft_pct,rpg,apg,position,two_pt_pct,three_pt_pct,minutes_pg,ppg,fta_pg,usage_rate
celtics_85,Larry Bird,49.6,89.6,9.8,6.8,SF,50.6,42.3,38.0,25.8,6.0,28.4
celtics_85,Kevin McHale,57.4,77.6,8.1,2.7,PF,57.4,0.0,35.3,21.3,6.2,22.3
celtics_85,Dennis Johnson,45.5,81.8,3.4,5.8,PG,46.8,14.3,35.0,15.6,3.8,18.0
celtics_85,Robert Parish,54.9,73.1,9.5,1.8,C,54.9,0.0,31.7,16.1,4.1,16.8
celtics_85,Danny Ainge,50.4,90.4,2.9,5.1,SG,52.1,35.6,30.1,10.7,1.7,12.4
celtics_85,Jerry Sichting,57.0,92.4,1.3,2.3,PG,57.8,37.5,19.5,6.5,0.8,10.0
celtics_85,Bill Walton,56.2,71.3,6.8,2.1,C,56.2,0.0,19.3,7.6,2.5,10.0
celtics_85,Scott Wedman,47.3,66.2,2.4,1.1,SF,48.3,35.4,17.7,8.0,0.9,10.0
celtics_85,Rick Carlisle,48.7,65.2,1.0,1.4,SG,51.4,0.0,9.9,2.6,0.3,10.0
celtics_85,Sly Williams,23.8,58.3,2.5,0.3,SF,29.4,0.0,9.0,2.8,2.0,10.0
celtics_85,David Thirdkill,49.1,62.5,1.4,0.3,PF,49.5,0.0,7.9,3.3,1.8,10.0
celtics_85,Sam Vincent,36.4,92.9,0.8,1.2,SG,36.7,25.0,7.6,3.2,1.2,10.0
celtics_85,Greg Kite,37.4,38.5,2.0,0.3,C,37.8,0.0,7.3,1.3,0.6,10.0
lakers_86,Magic Johnson,52.2,84.8,6.3,12.2,PG,53.2,20.5,36.3,23.9,7.9,27.6
lakers_86,James Worthy,53.9,75.1,5.7,2.8,SF,54.5,0.0,34.4,19.4,4.7,21.3
lakers_86,Byron Scott,48.9,89.2,3.5,3.4,SG,49.6,43.6,33.3,17.0,3.1,19.6
lakers_86,Kareem Abdul-Jabbar,56.4,71.4,6.7,2.6,C,56.5,33.3,31.3,17.5,4.4,18.3
lakers_86,A.C. Green,53.8,78.0,7.8,1.1,PF,54.3,0.0,28.4,10.8,3.6,11.3
lakers_86,Michael Cooper,43.8,85.1,3.1,4.5,SG,46.1,38.5,27.5,10.5,1.8,12.1
lakers_86,Mychal Thompson,48.0,74.3,4.1,0.8,PF,48.1,0.0,20.6,10.1,3.1,10.6
lakers_86,Kurt Rambis,52.1,76.4,5.8,0.8,PF,52.1,0.0,19.4,5.7,2.0,10.0
lakers_86,Billy Thompson,54.4,64.9,2.9,1.0,SF,54.6,0.0,12.9,5.6,1.3,10.0
lakers_86,Frank Brickowski,56.4,67.8,2.6,0.3,PF,56.4,0.0,10.9,3.9,1.6,10.0
lakers_86,Wes Matthews,47.6,80.6,0.9,2.0,PG,47.8,33.3,10.6,4.2,0.7,10.0
lakers_86,Adrian Branch,50.0,77.8,1.7,0.5,SF,51.1,0.0,6.8,4.3,1.7,10.0
lakers_86,Mike Smrek,50.0,64.0,1.1,0.1,C,50.0,0.0,6.7,2.2,0.7,10.0
bucks_70,Kareem Abdul-Jabbar,57.7,69.0,16.0,3.3,C,57.7,0.0,40.1,31.7,8.3,33.1
bucks_70,Oscar Robertson,49.6,85.0,5.7,8.2,PG,49.6,0.0,39.4,19.4,5.6,22.4
bucks_70,Bob Dandridge,50.9,70.2,8.0,3.5,SF,50.9,0.0,36.2,18.4,4.8,20.2
bucks_70,Jon McGlocklin,53.5,86.2,2.7,3.7,SG,53.5,0.0,35.3,15.8,2.0,18.2
bucks_70,Greg Smith,51.2,66.2,7.2,2.8,PF,51.2,0.0,29.6,11.7,2.6,12.2
bucks_70,Bob Boozer,45.0,81.8,5.4,1.6,PF,45.0,0.0,22.2,9.1,2.3,10.0
bucks_70,Bob Greacen,8.3,42.9,3.0,6.5,SF,8.3,0.0,21.5,2.5,3.5,10.0
bucks_70,Lucius Allen,44.7,70.0,2.5,2.6,PG,44.7,0.0,19.0,7.1,1.8,10.0
bucks_70,McCoy McLemore,36.8,82.9,3.8,1.1,SF,36.8,0.0,14.8,4.7,1.5,10.0
bucks_70,Jeff Webb,34.6,73.3,0.8,0.7,SG,34.6,0.0,10.3,2.2,0.5,10.0
bucks_70,Dick Cunningham,41.5,66.1,3.4,0.6,C,41.5,0.0,8.9,2.6,0.8,10.0
bucks_70,Gary Freeman,50.8,73.7,2.4,0.8,SF,50.8,0.0,8.2,3.7,0.9,10.0
bucks_70,Bill Zopf,36.3,55.6,0.9,1.4,PG,36.3,0.0,7.5,2.2,0.7,10.0
bucks_70,Marv Winkler,30.0,100.0,1.3,0.7,,30.0,0.0,4.7,2.7,0.7,10.0
bulls_95,Michael Jordan,49.5,83.4,6.6,4.3,SG,50.6,42.7,37.7,30.4,8.0,35.0
bulls_95,Scottie Pippen,46.3,67.9,6.4,5.9,SF,50.7,37.4,36.7,19.4,4.2,21.3
bulls_95,Dennis Rodman,48.0,52.8,14.9,2.5,PF,51.6,11.1,32.6,5.5,1.7,10.0
bulls_95,Luc Longley,48.2,77.7,5.1,1.9,C,48.2,0.0,26.5,9.1,1.7,10.0
bulls_95,Toni Kukoč,49.0,77.2,4.0,3.5,SF,52.4,40.3,26.0,13.1,3.3,14.4
bulls_95,Ron Harper,46.7,70.5,2.7,2.6,PG,51.9,26.9,23.6,7.4,1.7,10.0
bulls_95,Steve Kerr,50.6,92.9,1.3,2.3,PG,49.8,51.5,23.4,8.4,1.0,10.0
bulls_95,Bill Wennington,49.3,86.0,2.5,0.6,C,49.1,100.0,15.0,5.3,0.6,10.0
bulls_95,Dickey Simpkins,48.1,62.9,2.6,0.6,PF,47.8,100.0,11.4,3.6,1.6,10.0
bulls_95,John Salley,34.3,60.0,2.5,0.9,PF,34.3,0.0,11.2,2.1,1.2,10.0
bulls_95,Jud Buechler,46.3,63.6,1.5,0.8,SF,47.4,44.4,10.0,3.8,0.3,10.0
bulls_95,Randy Brown,40.6,60.9,1.0,1.1,PG,42.5,9.1,9.9,2.7,0.7,10.0
bulls_95,James Edwards,37.3,61.5,1.4,0.4,C,37.3,0.0,9.8,3.5,0.9,10.0
bulls_95,Jason Caffey,43.8,58.8,1.9,0.4,PF,44.1,0.0,9.6,3.2,1.2,10.0
bulls_95,Jack Haley,33.3,50.0,2.0,0.0,C,33.3,0.0,7.0,5.0,2.0,10.0
celtics_64,Bill Russell,43.8,57.3,24.1,5.3,C,43.8,0.0,44.4,14.1,5.5,14.7
celtics_64,Sam Jones,45.2,82.0,5.1,2.8,SG,45.2,0.0,36.1,25.9,6.5,29.9
celtics_64,K.C. Jones,39.6,63.0,4.1,5.6,PG,39.6,0.0,31.2,8.3,2.9,10.0
celtics_64,Tom Sanders,42.9,74.5,8.3,1.2,PF,42.9,0.0,30.7,11.8,3.2,12.3
celtics_64,John Havlicek,40.1,74.4,4.9,2.7,SG,40.1,0.0,28.9,18.3,4.2,21.1
celtics_64,Tom Heinsohn,38.3,79.5,6.0,2.3,SF,38.3,0.0,25.5,13.6,3.4,15.0
celtics_64,Willie Naulls,38.4,81.3,4.7,1.0,SF,38.4,0.0,20.6,10.5,2.5,11.5
celtics_64,Larry Siegfried,41.5,77.9,1.9,1.7,SG,41.5,0.0,13.8,6.3,1.9,10.0
celtics_64,John Thompson,40.2,59.0,3.6,0.3,PF,40.2,0.0,10.9,3.6,1.6,10.0
celtics_64,Mel Counts,36.8,78.4,4.9,0.4,C,36.8,0.0,10.6,4.8,1.4,10.0
celtics_64,Ron Bonham,41.4,82.1,2.1,0.5,SF,41.4,0.0,10.0,7.4,3.0,10.0
celtics_64,Gerry Ward,11.1,100.0,1.7,2.0,SG,11.1,0.0,10.0,1.7,0.3,10.0
celtics_64,Bevo Nordmann,60.0,0.0,2.7,1.0,C,60.0,0.0,8.3,2.0,0.0,10.0
heat_12,LeBron James,56.5,75.3,8.0,7.3,PF,60.2,40.6,37.9,26.8,7.0,28.0
heat_12,Dwyane Wade,52.1,72.5,5.0,5.1,SG,53.7,25.8,34.7,21.2,6.2,24.5
heat_12,Chris Bosh,53.5,79.8,6.8,1.7,C,55.7,28.4,33.2,16.6,4.1,17.3
heat_12,Mario Chalmers,42.9,79.5,2.2,3.5,PG,45.6,40.9,26.9,8.6,1.5,10.0
heat_12,Ray Allen,44.9,88.6,2.7,1.7,SG,48.0,41.9,25.8,10.9,2.0,12.6
heat_12,Shane Battier,42.0,84.2,2.3,1.0,SF,34.8,43.0,24.8,6.6,0.5,10.0
heat_12,Norris Cole,42.1,65.0,1.6,2.1,PG,44.0,35.7,19.9,5.6,1.0,10.0
heat_12,Udonis Haslem,51.4,71.1,5.4,0.5,PF,51.4,0.0,18.9,3.9,0.6,10.0
heat_12,Mike Miller,43.3,72.7,2.7,1.7,SF,48.2,41.7,15.3,4.8,0.2,10.0
heat_12,Chris Andersen,57.7,67.7,4.1,0.4,C,57.5,66.7,14.9,4.9,2.2,10.0
heat_12,Rashard Lewis,41.4,62.2,2.2,0.5,PF,44.1,38.9,14.4,5.2,0.8,10.0
heat_12,Joel Anthony,51.5,60.7,1.9,0.2,C,51.5,0.0,9.1,1.4,0.5,10.0
heat_12,Juwan Howard,52.6,100.0,1.1,0.9,PF,52.6,0.0,7.3,3.0,0.1,10.0
heat_12,James Jones,34.4,50.0,0.6,0.3,SF,62.5,30.2,5.8,1.6,0.1,10.0
heat_12,Josh Harrellson,44.4,50.0,1.2,0.0,C,75.0,20.0,5.2,1.7,0.3,10.0
heat_12,Jarvis Varnado,33.3,0.0,0.8,0.3,PF,33.3,0.0,5.0,0.3,0.0,10.0
heat_12,Terrel Harris,25.0,75.0,1.3,0.3,SG,28.6,0.0,4.1,1.4,1.1,10.0
heat_12,Dexter Pittman,60.0,0.0,1.8,0.0,C,60.0,0.0,3.0,1.5,0.0,10.0
knicks_69,Walt Frazier,51.8,74.8,6.0,8.2,PG,51.8,0.0,39.5,20.9,7.1,24.1
knicks_69,Willis Reed,50.7,75.6,13.9,2.0,C,50.7,0.0,38.1,21.7,5.7,22.7
knicks_69,Dick Barnett,47.5,71.4,2.7,3.6,SG,47.5,0.0,33.8,14.9,4.0,17.2
knicks_69,Dave DeBusschere,45.1,68.8,10.0,2.5,PF,45.1,0.0,33.3,14.6,3.2,15.3
knicks_69,Bill Bradley,46.0,82.4,3.6,4.0,SF,46.0,0.0,31.3,14.5,2.6,15.9
knicks_69,Mike Riordan,46.4,69.1,2.4,2.5,SG,46.4,0.0,20.7,7.7,2.0,10.0
knicks_69,Cazzie Russell,49.8,77.5,3.0,1.7,SF,49.8,0.0,20.0,11.5,2.1,12.7
knicks_69,Dave Stallworth,42.9,71.6,3.9,1.7,SF,42.9,0.0,16.8,7.8,2.7,10.0
knicks_69,Nate Bowman,41.7,51.9,3.2,0.6,C,41.7,0.0,9.2,2.9,1.0,10.0
knicks_69,Bill Hosket,50.5,78.8,1.8,0.5,PF,50.5,0.0,6.5,3.3,0.9,10.0
knicks_69,Don May,38.6,94.7,1.4,0.5,SF,38.6,0.0,6.4,2.6,0.5,10.0
knicks_69,John Warren,40.7,68.6,0.9,0.7,SG,40.7,0.0,6.2,2.5,0.8,10.0
lakers_99,Shaquille O'Neal,57.4,52.4,13.6,3.8,C,57.5,0.0,40.0,29.7,10.4,35.0
lakers_99,Kobe Bryant,46.8,82.1,6.3,4.9,SG,48.9,31.9,38.2,22.5,6.1,32.0
lakers_99,Glen Rice,43.0,87.4,4.1,2.2,SF,44.9,36.7,31.6,15.9,5.0,17.5
lakers_99,Ron Harper,39.9,68.0,4.2,3.4,PG,42.1,31.1,25.5,7.0,1.8,10.0
lakers_99,A.C. Green,44.7,69.5,5.9,1.0,PF,44.9,25.0,23.5,5.0,1.2,10.0
lakers_99,Derek Fisher,34.6,72.4,1.8,2.8,PG,36.3,31.3,23.1,6.3,1.9,10.0
lakers_99,Robert Horry,43.8,78.8,4.8,1.6,PF,48.3,30.9,22.2,5.7,1.5,10.0
lakers_99,Tyronn Lue,48.7,75.0,1.5,2.1,PG,48.4,50.0,18.3,6.0,1.0,10.0
lakers_99,Rick Fox,41.4,80.8,2.4,1.7,SF,46.4,32.6,18.0,6.5,1.0,10.0
lakers_99,Brian Shaw,38.2,75.9,2.9,2.7,SG,39.8,31.0,16.9,4.1,0.7,10.0
lakers_99,John Celestand,33.3,83.3,0.7,1.3,PG,36.1,22.2,11.6,2.3,0.4,10.0
lakers_99,Devean George,38.9,65.9,1.5,0.2,SF,41.2,34.0,7.0,3.2,0.8,10.0
lakers_99,John Salley,36.2,75.0,1.4,0.6,C,36.2,0.0,6.7,1.6,0.6,10.0
lakers_99,Travis Knight,39.0,60.7,2.0,0.4,C,39.0,0.0,6.5,1.7,0.4,10.0
lakers_99,Sam Jacobson,55.6,0.0,0.3,0.7,PG,55.6,0.0,6.0,3.3,0.7,10.0
lakers_71,Wilt Chamberlain,64.9,42.2,19.2,4.0,C,64.9,0.0,42.3,14.8,6.4,15.5
lakers_71,Jerry West,47.7,81.4,4.2,9.7,PG,47.7,0.0,38.6,25.8,8.2,29.8
lakers_71,Jim McMillian,48.2,79.1,6.5,2.6,SF,48.2,0.0,38.1,18.8,3.5,20.7
lakers_71,Gail Goodrich,48.7,85.0,3.6,4.5,SG,48.7,0.0,37.1,25.9,6.8,29.9
lakers_71,Happy Hairston,46.1,77.9,13.1,2.4,PF,46.1,0.0,34.4,13.1,5.0,13.7
lakers_71,Elgin Baylor,43.3,81.5,6.3,2.0,SF,43.3,0.0,26.6,11.8,3.0,13.0
lakers_71,Keith Erickson,48.2,85.7,2.6,2.3,SF,48.2,0.0,17.5,5.7,0.5,10.0
lakers_71,Flynn Robinson,49.0,86.0,1.8,2.2,SG,49.0,0.0,15.7,9.9,2.0,11.4
lakers_71,Leroy Ellis,46.0,69.5,4.2,0.6,C,46.0,0.0,14.6,4.6,1.3,10.0
lakers_71,Pat Riley,44.7,74.3,1.9,1.1,SG,44.7,0.0,13.8,6.7,1.1,10.0
lakers_71,John Trapp,44.3,69.9,3.1,0.7,SF,44.3,0.0,13.1,5.7,1.3,10.0
lakers_71,Jim Cleamons,35.0,77.8,1.0,0.9,PG,35.0,0.0,5.3,2.6,0.9,10.0
sixers_82,Moses Malone,50.1,76.1,15.3,1.3,C,50.2,0.0,37.5,24.5,10.1,25.6
sixers_82,Julius Erving,51.7,75.9,6.8,3.7,SF,51.8,28.6,33.6,21.4,6.0,23.5
sixers_82,Maurice Cheeks,54.2,75.4,2.6,6.9,PG,54.5,16.7,31.2,12.5,3.0,14.4
sixers_82,Andrew Toney,50.1,78.8,2.8,4.5,SG,51.4,28.9,30.5,19.7,5.1,22.8
sixers_82,Bobby Jones,54.3,79.3,4.6,1.9,PF,54.5,0.0,23.6,9.0,2.8,10.0
sixers_82,Clint Richardson,46.3,64.0,3.2,2.2,SG,46.8,0.0,22.8,7.6,1.4,10.0
sixers_82,Clemon Johnson,50.0,58.6,6.4,0.8,C,50.0,0.0,21.8,6.8,1.8,10.0
sixers_82,Marc Iavaroni,46.2,69.0,4.1,1.0,PF,46.4,0.0,20.2,5.1,1.4,10.0
sixers_82,Reggie Johnson,44.8,73.3,3.1,0.8,SF,44.8,0.0,18.9,5.5,1.0,10.0
sixers_82,Franklin Edwards,47.2,76.1,1.0,2.7,PG,48.0,0.0,15.6,6.7,1.4,10.0
sixers_82,Russ Schoene,51.2,75.0,3.3,0.7,PF,51.5,0.0,15.3,5.1,0.6,10.0
sixers_82,Earl Cureton,41.9,49.3,3.7,0.6,C,41.9,0.0,13.5,3.4,0.9,10.0
sixers_82,Mark McNamara,45.3,44.4,2.1,0.2,C,45.3,0.0,5.1,2.2,1.3,10.0
sixers_82,J.J. Anderson,36.4,33.3,0.9,0.1,SF,38.1,0.0,3.7,1.3,0.2,10.0
spurs_13,Tony Parker,49.9,81.1,2.3,5.7,PG,50.9,37.3,29.4,16.7,3.6,25.0
spurs_13,Tim Duncan,49.0,73.1,9.7,3.0,C,49.3,0.0,29.2,15.1,4.3,23.0
spurs_13,Kawhi Leonard,52.2,80.2,6.2,2.0,SF,57.9,37.9,29.1,12.8,1.9,14.1
spurs_13,Marco Belinelli,48.5,84.7,2.8,2.2,SF,52.5,43.0,25.2,11.4,1.6,12.5
spurs_13,Boris Diaw,52.1,73.9,4.1,2.8,PF,54.9,40.2,25.0,9.1,1.2,10.0
spurs_13,Danny Green,43.2,79.4,3.4,1.5,SG,46.0,41.5,24.3,9.1,0.9,10.5
spurs_13,Manu Ginóbili,46.9,85.1,3.0,4.3,SG,55.3,34.9,22.8,12.3,2.8,21.0
spurs_13,Tiago Splitter,52.3,69.9,6.2,1.5,C,52.8,0.0,21.5,8.2,2.9,10.0
spurs_13,Patty Mills,46.4,89.0,2.1,1.8,PG,50.0,42.5,18.9,10.2,1.0,11.8
spurs_13,Malcolm Thomas,25.0,0.0,9.0,0.0,PF,25.0,0.0,15.0,2.0,2.0,10.0
spurs_13,Cory Joseph,47.5,82.3,1.6,1.7,SG,50.2,31.6,13.8,5.0,1.4,10.0
spurs_13,Jeff Ayres,58.0,69.1,3.5,0.8,PF,58.0,0.0,13.0,3.3,0.8,10.0
spurs_13,Nando De Colo,45.2,81.8,1.7,1.2,SG,51.6,32.3,11.6,4.3,0.8,10.0
spurs_13,Matt Bonner,44.5,75.0,2.1,0.5,PF,47.0,42.9,11.3,3.2,0.2,10.0
spurs_13,Shannon Brown,28.6,77.8,1.3,0.5,SG,30.8,0.0,10.3,2.3,0.9,10.0
spurs_13,Damion James,22.2,100.0,2.4,0.6,SF,28.6,0.0,10.0,1.2,0.4,10.0
spurs_13,Aron Baynes,43.6,90.5,2.7,0.6,C,43.6,0.0,9.3,3.0,0.4,10.0
spurs_13,Othyus Jeffers,60.0,50.0,1.5,0.3,SG,75.0,0.0,8.5,1.8,0.5,10.0
spurs_13,Austin Daye,38.2,57.1,1.4,0.4,SF,34.6,41.4,8.2,4.1,0.5,10.0
warriors_16,Klay Thompson,46.8,85.3,3.7,2.1,SG,51.6,41.4,34.0,22.3,2.8,25.8
warriors_16,Stephen Curry,46.8,89.8,4.5,6.6,PG,53.7,41.1,33.4,25.3,4.6,29.2
warriors_16,Kevin Durant,53.7,87.5,8.3,4.8,PF,60.8,37.5,33.4,25.1,6.2,26.2
warriors_16,Draymond Green,41.8,70.9,7.9,7.0,PF,49.4,30.8,32.5,10.2,2.8,10.7
warriors_16,Andre Iguodala,52.8,70.6,4.0,3.4,SF,65.1,36.2,26.3,7.6,1.3,10.0
warriors_16,Matt Barnes,42.2,87.0,4.6,2.3,SF,52.6,34.6,20.5,5.7,1.2,10.0
warriors_16,Zaza Pachulia,53.4,77.8,5.9,1.9,C,53.8,0.0,18.1,6.1,1.8,10.0
warriors_16,Shaun Livingston,54.7,70.0,2.0,1.8,PG,55.0,33.3,17.7,5.1,0.8,10.0
warriors_16,Patrick McCaw,43.3,78.4,1.4,1.1,SG,53.3,33.3,15.1,4.0,0.5,10.0
warriors_16,Ian Clark,48.7,75.9,1.6,1.2,SG,55.6,37.4,14.8,6.8,0.8,10.0
warriors_16,David West,53.6,76.8,3.0,2.2,C,54.1,37.5,12.6,4.6,0.8,10.0
warriors_16,JaVale McGee,65.2,50.5,3.2,0.2,C,65.8,0.0,9.6,6.1,1.4,10.0
warriors_16,James Michael McAdoo,53.0,50.0,1.8,0.3,PF,55.0,25.0,8.8,2.8,0.8,10.0
warriors_16,Damian Jones,50.0,30.0,2.3,0.0,C,50.0,0.0,8.5,1.9,1.0,10.0
warriors_16,Kevon Looney,52.3,61.8,2.3,0.5,C,55.1,22.2,8.4,2.5,0.6,10.0
warriors_16,Anderson Varejão,35.7,72.7,1.9,0.7,C,35.7,0.0,6.6,1.3,0.8,10.0
warriors_16,Briante Weber,35.7,66.7,0.6,0.7,PG,45.5,0.0,6.6,1.7,0.4,10.0
pistons_88,Isiah Thomas,46.4,81.8,3.4,8.3,PG,48.5,27.3,36.6,18.2,4.4,21.0
pistons_88,Joe Dumars,50.5,85.0,2.5,5.7,SG,50.6,48.3,34.9,17.2,4.4,19.9
pistons_88,Bill Laimbeer,49.9,84.0,9.6,2.2,C,51.5,34.9,32.6,13.7,2.6,14.3
pistons_88,Adrian Dantley,52.1,83.9,3.9,2.2,SF,52.1,0.0,31.9,18.4,7.3,20.2
